# required packages for NextFerretOS.
kwalletmanager/stable,now 4:25.04.2-1 amd64 [installed,automatic]
kwayland-integration/stable,now 6.3.4-1 amd64 [installed,automatic]
kwayland5-data/stable,now 4:5.116.0-1 all [installed,automatic]
kwayland6-data/stable,now 4:6.3.4-1 all [installed,automatic]
kwin-common/stable,now 4:6.3.6-1 amd64 [installed,automatic]
kwin-data/stable,now 4:6.3.6-1 all [installed,automatic]
kwin-style-breeze/stable,now 4:6.3.5-1 amd64 [installed,automatic]
kwin-wayland/stable,now 4:6.3.6-1 amd64 [installed,automatic]
kwin-x11/stable,now 4:6.3.6-1 amd64 [installed,automatic]
kwrite/stable,now 4:25.04.3-2 amd64 [installed,automatic]
kwrited/stable,now 4:6.3.4-1 amd64 [installed,automatic]
layer-shell-qt/stable,now 6.3.4-1 amd64 [installed,automatic]
less/stable,now 668-1 amd64 [installed]
lib32gcc-s1/stable,now 14.2.0-19 amd64 [installed,automatic]
lib32stdc++6/stable,now 14.2.0-19 amd64 [installed,automatic]
libaa1/stable,now 1.4p5-51.1+b1 amd64 [installed,automatic]
libaacs0/stable,now 0.11.1-4+b1 amd64 [installed,automatic]
libabsl20240722/stable,now 20240722.0-4 amd64 [installed,automatic]
libaccounts-glib0/stable,now 1.27-1+b1 amd64 [installed,automatic]
libaccounts-qt6-1/stable,now 1.17-4+b1 amd64 [installed,automatic]
libaccountsservice0/stable,now 23.13.9-7 amd64 [installed,automatic]
libacl1/stable,now 2.3.2-2+b1 amd64 [installed]
libakonadi-data/stable,now 4:24.12.3-1 all [installed,automatic]
libakonadicalendar-data/stable,now 4:24.12.3-1 all [installed,automatic]
libakonadisearch-bin/stable,now 4:24.12.3-1 amd64 [installed,automatic]
libakonadisearch-data/stable,now 4:24.12.3-1 all [installed,automatic]
libakonadisearch-plugins/stable,now 4:24.12.3-1 amd64 [installed,automatic]
libalgorithm-diff-perl/stable,now 1.201-1 all [installed,automatic]
libalgorithm-diff-xs-perl/stable,now 0.04-9 amd64 [installed,automatic]
libalgorithm-merge-perl/stable,now 0.08-5 all [installed,automatic]
libann0/stable,now 1.1.2+doc-9+b1 amd64 [installed,automatic]
libaom3/stable,now 3.12.1-1 amd64 [installed,automatic]
libapparmor1/stable,now 4.1.0-1 amd64 [installed]
